Repo, Last Tag Version,Snapshot Version,Changed Files,Docker Images
policy/parent,4.1.1,4.1.2-SNAPSHOT,0,
policy/docker,3.1.1,3.1.2-SNAPSHOT,1,'policy-jre-alpine':'policy-jdk-alpine':'policy-db-migrator'
policy/common,2.1.1,2.1.2-SNAPSHOT,0,
policy/models,3.1.1,3.1.2-SNAPSHOT,2,'policy-models-simulator'
policy/api,3.1.1,3.1.2-SNAPSHOT,1,'policy-api'
policy/pap,3.1.1,3.1.2-SNAPSHOT,1,'policy-pap'
policy/apex-pdp,3.1.1,3.1.2-SNAPSHOT,1,'policy-apex-pdp'
policy/drools-pdp,2.1.1,2.1.2-SNAPSHOT,1,'policy-drools'
policy/xacml-pdp,3.1.1,3.1.2-SNAPSHOT,1,'policy-xacml-pdp'
policy/distribution,3.1.1,3.1.2-SNAPSHOT,1,'policy-distribution'
policy/clamp,7.1.1,7.1.2-SNAPSHOT,8,'policy-clamp-ac-pf-ppnt':'policy-clamp-ac-k8s-ppnt':'policy-clamp-ac-http-ppnt':'policy-clamp-ac-a1pms-ppnt':'policy-clamp-runtime-acm':'policy-clamp-acm-element-impl':'policy-clamp-ac-kserve-ppnt':'policy-clamp-ac-sim-ppnt'
policy/gui,3.1.1,3.1.2-SNAPSHOT,1,'policy-gui'
policy/drools-applications,2.1.1,2.1.2-SNAPSHOT,0,'policy-pdpd-cl'
